"Texte","id"
"from amjad a soomro subject gamma law correction organization project glue university of maryland college park lines distribution usa expires nntp posting host filter eng umd edu hi i am digitizing a ntsc signal and displaying on a pc video monitor it is known that the display response of tubes is non linear and is sometimes said to follow gamma law i am not certain if these non linearities are gamma corrected before encoding ntsc signals or if the tv display is supposed to correct this also if grey levels for example are coded in a c program do these intensity levels appear with linear brightness on a pc monitor in other words does pc monitor display circuitry correct for gamma errrors your response is much appreciated amjad amjad soomro ccs computer science center u of maryland at college park email",11
"from benedikt rosenau subject re a visit from the jehovah s witnesses organization technical university braunschweig germany lines in article writes didn t you say lucifer was created with a perfect nature yes define perfect then i think you are playing the usual game here make sweeping statements like omni holy or perfect and don t note that they mean exactly what they say and that says that you must not use this terms when it leads to contradictions i m not trying to play games here but i understand how it might seem that way especially when one is coming from a completely different point of view such as atheism take your foot out of your mouth i wondered about that already when i was a catholic christian the fact that the contradiction is unresolvable is one of the reasons why i am an atheist believe me i believed similar sentences for a long time but that shows the power of religion and not anything about its claims now god could have prevented lucifer s fall by taking away his ability to choose between moral alternatives worship god or worship himself but that would mean that god was in error to have make lucifer or any being with free will in the first place exactly god allows evil an evil if there ever was one now that s an opinion or at best a premise but from my point of view it is not a premise which is necessary true specifically that it is an evil to allow evil to occur it follows from a definition of evil as ordinarily used letting evil happen or allowing evil to take place in this place even causing evil is another evil but could you give a definition of free will especially in the presence of an omniscient being will is self determination in other words god created conscious beings who have the ability to choose between moral choices independently of god all will therefore is free will the omniscient attribute of god will know what the creatures will do even before the omnipotent has created them there is no choice left all is known the course of events is fixed not even for the omniscient itself to extend an argument by james tims if god is omniscient then clearly creating beings with free moral choice is a greater good than the emergence of ungodliness evil sin since he created them knowing the outcome in advance why is it the greater good to allow evil with the knowledge that it will happen why not make a unipolar system with the possibility of doing good or not doing good but that does not necessarily imply doing evil it is logically possible but your god has not done it i do not know that such is logically possible if god restrains a free being s choice to choose to do evil and simply do not good then can it be said that the being truly has a free moral choice and if good is defined as loving and obeying god and avoiding those behaviors which god prohibits then how can you say that one who is not good is not evil as well like i said i am not sure that doing not good without doing evil is logically possible and when i am not omnipotent how can i have free will you have said something about choices and the scenario gives them therefore we have what you define as free will imagine the following i can do good to other beings but i can not harm them easily implemented by making everyone appreciate being the object of good deeds but don t make them long for them so they can not feel the absence of good as evil but whose case am i arguing it is conceivable so the omnipotent can do it or it would not be omnipotent if you want logically consistent as well you have to give up the pet idea of an omnipotent first deletion perhaps it is weak in a way if i were just speculating about the ubiquitous pink unicorns then there would be no basis for such speculation but this idea of god didn t just fall on me out of the blue or while reading science fiction or fantasy i know that some will disagree the bible describes a god who is omniscient and nevertheless created beings with free moral choice from which the definitional logic follows but that s not all there is to it there seems to be at least in my mind a certain amount of evidence which indicates that god exists and that the biblical description of him may be a fair one it is that evidence which bolsters the argument in my view that the bible describes an omniscient and omnipotent god destroys the credibility of the bible nothing less and a lot of people would be interested in evidence for a god unfortunately there can t be any with these definitions benedikt",12
"subject so what is maddi from maddi hausmann organization society for putting things on top of other things lines as i was created in the image of gaea therefore i must be the pinnacle of creation she which creates she which births she which continues or to cut all the religious crap i m a woman thanks and it s sexism that started me on the road to atheism maddi hausmann centigram communications corp san jose california kids please don t try this at home remember i post professionally",13
"from kenneth sloan subject re more gray levels out of the screen organization cis university of alabama at birmingham lines in article jon rowlands writes a few years ago a friend and i took some grey level photos from a bit mac plus screen using this method displaying all levels synchronized to the hz display took about seconds why didn t you create grey level images and display them for time slices this requires the same total exposure time and the same precision in timing but drastically reduces the image preparation time no kenneth sloan computer and information sciences university of alabama at birmingham a campbell hall uab station fax birmingham al",14
"from mike peredo subject re fake virtual reality organization mind link british columbia canada lines the most ridiculous example of vr exploitation i ve seen so far is the virtual reality clothing company which recently opened up in vancouver as far as i can tell it s just another chic clothes spot although it would be interesting if they were selling virtual clothing e mail me if you want me to dig up their phone and you can probably get some promotional lit mp",15
"from robert texx woodworth subject re can men get yeast infections organization open systems solutions inc lines distribution na nntp posting host nym ossi com jon noring writes in article tammy vandenboom writes here s a potentially stupid question to possibly the wrong news group but can men get yeast infections spread them what kind of symptoms similar as women s i have a yeast infection and my husband who is a natural paranoid on a good day is sure he s gon na catch it and keeps asking me what it s like i m not sure what his symptoms would be the answer is yes and no i m sure others on sci med can expand on this recently someone posted an account of this unfortunately it was posted to alt tasteless so the gross details were emphasized instead of th e actual scientific facts",16
"organization penn state university from subject you will all go to hell lines you blashephemers you will all go to hell for not believing in god be prepared for your eternal damnation",17
"from subject anyone with l abri experiences organization mentor graphics corporation lines i am curious if anyone in net land has spent any time at any of the l abri houses throughout the world and what the experience was like how it affected you etc especially interesting would be experiences at the original l abri in switzerland and personal interactions with francis and or edith schaeffer tom milligan",18
"subject re don t more innocents die without the death penalty from james j lippard distribution world local organization university of arizona nntp posting host skyblu ccit arizona edu news software vax vms vnews lines in article chris bell writes killing is wrong if you kill we will punish you our punishment will be to kill you seems to be lacking in consistency not any more so than holding people against their will is wrong if you hold people against their will we will punish you our punishment will be to hold you against your will is there any punishment which isn t something which if done by a private person to another private person for no apparent reason would lead to punishment fines i suppose jim lippard dept of philosophy university of arizona tucson az",19
"from mark dotson subject re hell_ black sabbath organization dayton microcomputer association dayton ohio lines i may be wrong but wasn t jeff fenholt part of black sabbath he s a major brother in christ now he totally changed his life around and he and his wife go on tours singing witnessing and spreading the gospel for christ i may be wrong about black sabbath but i know he was in a similar band if it wasn t that particular group yes but jeff also speaks out against listening to bands like black sabbath he says they re into all sorts of satanic stuff i don t know mark",20
"from gene c miller subject re radical agnostic not organization worldbank org lines in article david nye wrote reply to e h welbon there is no means that i can possibly think of to prove beyond doubt that a god does not exist but if anyone has one by all means tell me what it is therefore lacking this ability of absolute proof being an atheist becomes an act of faith in and of itself and this i can not accept i accept nothing on blind faith invisible pink flying unicorns need i say more i harbor no beliefs at all there is no good evidence for god existing or not some folks call this agnosticism it does not suffer from blind faith at all i think of it as don t worry be happy for many atheists the lack of belief in gods is secondary to an epistemological consideration what do we accept as a reliable way of knowing there are no known valid logical arguments for the existence of gods nor is there any empirical evidence that they exist most philosophers and theologians agree that the idea of a god is one that must be accepted on faith faith is belief without a sound logical basis or empirical evidence it is a reliable way of knowing could you expand on your definition of knowing it seems a bit monolithic here but i m not sure that you intend that don t we need for example to distinguish between knowing plus equals or apples plus apples equals apples the french knowing that jerry lewis is an auteur and what it means to say we know what socrates said this is patently absurd but whoever wishes to become a philosopher must learn not to be frightened by absurdities bertrand russell i like this epigraph perhaps the issue is learning which if any absurdities merit further exploration gene",21
"from joe kellett subject re opinions asked about rejection organization netcom lines william mayne wrote in article jayne kulikauskas writes people who reject god don t want to be wth him in heaven we spend our lives choosing to be either for him or against him god does not force himself on us i must say that i am shocked my impression has been that jayne kulikaskas usually writes this much less offensive and ludicrous than this i am not saying that the offensiveness is intentional but it is clear and it is something for christians to consider jayne stands in pretty good company c s lewis wrote a whole book promoting the idea contained in her first sentence quoted above it is called the final divorce excellent book on the subject of heaven and hell highly recommended it s an allegory of souls who are invited indeed beseeched to enter heaven but reject the offer because being with god in heaven means giving up their false pride joe kellett",22
"from stefan hermansson subject re vesa on the speedstar organization h gskolan i j nk ping lines nntp posting host pc_b et hj se just posting to john cormack i wanted to tell you that there is a slight difference between speedstar and speedstar x stefan",23
"from m j williams subject re rumours about do keywords do arm qt compact video reply to organization the national society for the inversion of cuddly tigers lines nntp posting host earith cl cam ac uk in article robert c barris writes we got to see the unit displaying full screen movies using the compactvideo codec which was nice very little blockiness showing clips from jaws and backdraft and a very high frame rate to boot like fps acorn replay running on a mhz arm processor the arm is about slower than the arm does this in software off a standard cd rom bit colour at about the same resolution so what if the computer only has bit colour support real time dithering too the d o is supposed to have a couple of dsps the arm being used for housekeeping i m not sure how a centris mhz stacks up against the mhz arm in the do box obviously the arm is faster but how much a mhz arm xx should clock around arm mips say flat out depends really on the surrounding system and whether you are talking armx or armxx the latter has a cache and so is essential to run at this kind of speed with slower memory i ll stop saying things there cos i ll hopefully be working for arm after graduation mike ps don t pay heed to what reps from philips say if the d o doesn t beat the pants off di then i ll eat this postscript ____________________________________________________________________________ michael williams part ii computer science tripos university of cambridge __ cymdeithas genedlaethol traddodiad troi teigrod mwythus ben i waered",24
"from dave stampe subject re fast polygon routine needed keywords polygon needed organization department of psychology university of toronto lines sol surv utas edu au stephen quan writes but i m looking for a fast polygon routine to be used in a d game a fast polygon routine to do what to draw polygons of course its a vga mode h x game hi i ve come across a fast triangle fill draw routine for mode h by calling this routine enough times you have a fast polygon drawing routine i think i ftp ed from wuarchive wustl edu pub msdos_uploads programming i have a copy of it so i reupload it there the triangle txt file has this to say c and inline assembly source for a vga mode h triangle drawer another source there s a poly blitter for mode y mode x in x at sunee uwaterloo ca also there is rend an even faster d renderer with vr extensions my life is hardware dave stampe my destiny is software my cpu is wetware am i a techno psychologist or just a psycho engineer",25
"from subject end of discussion easter lines i just about closed this once before i m now doing so for real after tonight s posting",26
"from ruth ditucci subject losing your temper is not a christian trait organization panix public access unix nyc lines coming from a long line of hot tempered people i know temper when i see it one of the tell tale signs fruits that give non christians away is when their net replies are acrid angry and sarcastic we in the net village do have a laugh or two when professed born again christians verbally attack people who might otherwise have been won to christianity and had originally joined the discussions because they were spiritually hungry instead of answering questions with sweetness and sincerity these chrisitan net warriors flame the queries you don t need any enemies you already do yourselves the greatest harm again i say foolish foolish foolish",27
"from david rind subject re arrhythmia organization beth israel hospital harvard medical school boston mass usa lines nntp posting host enterprise bih harvard edu in article alexis perry writes in article writes doctors said that he could die from it and the medication caused is it that serious my ekg often comes back with a few irregular beats another question is a low blood potassium level very bad my doctor seems concerned but she tends to worry too much in general the term arrhythmia is usually used to encompass a wide range of abnormal heart rhythms cardiac dysrhythmias some of them are very serious while others are completely benign having a few irregular beats on an ekg could be serious depending on what those beats were and when they occurred or could be of no significance low blood potassium levels probably predispose people with underlying heart disease to develop arrhythmias very low potassium levels are clearly dangerous but it is not clear how much of a problem low end of normal levels are a lot of cardiologists seem to treat anyone with even a mildly low normal potassium level david rind",28
"from steve pope subject re is msg sensitivity superstition organization u c berkeley erl lines distribution world nntp posting host zion berkeley edu article writes now if instead of using the msg as a food additive you put the msg in gelatin capsules or whatever there may not be a reaction becasue the _sensory_response_ might be a necessary element in the creation of the msg reaction i ll bet the bogus medical researchers never even thought about that obvious fact gee he means placebo effect sorry but the researchers do know about this carl it is not placebo effect if as hypothesised the sensory response to msg s effect on flavor is responsible for the msg reaction steve",29
"from greg w luft subject relief of pain caused by cancer organization chevron lines i am not sure if this is the proper group to post this to but here goes anyway about five years ago my mother was diagnosed with having cancer in the lymph nodes under one of her arms after the doctors removed the cancerous area she had full movement of her arm with only slight aching under her arm when she moved it over the course of the next two years the aching got more severe and her complaining to the doctors produced the explanation that it was scar tissue causing the pain at this time her doctor suggested that some physiotherapy should be employed to break up the scar tissue while attending one of her therapy sessions while her arm was being manipulated some damage occured nerve which caused the level of pain to permanently increase severly controlled by tylenol s and some loss of use of the arm palsied wrist and almost no outward lateral movement with great persistence on her part the doctors looked further into the issue and discovered that not all of the cancer had been removed and another tumor had grown under the arm this was removed also but the pain in the arm has not decreased the doctors are not sure exactly why the pain is persisting but feel some sort of nerve damage has occured and they have employed tylenol and soon morphine to relieve the pain she has tried acupuncture by this only provides minor reductions in pain and is only short term my questions are has anyone has heard of similar cases and what if anything was done to reduce the levels of pain are their methods to block nerves so that the pain can be reduced are their methods to restore nerves so that loss of arm function can be restored any general suggestions on pain reduction would be greatly appreciated please respond by email because i do not always get chance to read this group if anyone knows of some literature that may be useful to this case or another newsgroup that i should be posting this to it would also be appreciated gregory w luft internet chevron petroleum techonology company tel fifth ave s w fax calgary alberta canada tp l",30
"from phil bowermaster subject c s lewis is ok was ancient books organization u s west advanced technologies lines in article bill mayne wrote the last sentence is ironic since so many readers of soc religion christian seem to not be embarrassed by apologists such as josh mcdowell and c s lewis the above also expresses a rather odd sense of history what makes you think the masses in aquinas day who were mostly illiterate knew any more about rhetoric and logic than most people today if writings from the period seem elevated consider that only the cream of the crop so to speak could read and write if everyone in the medieval period knew the rules it was a matter of uncritically accepting what they were told bill mayne this may be unfair to lewis the most prominent fallacy attributed to him is the liar lunatic and lord as quoted by many christians this is a logical fallacy in its original context it was not clh exactly c s lewis has taken a couple of pretty severe hits in this group lately first somebody was accusing him of being self righteous and unconvincing now we are told that we christians should be embarrassed by him as well as by josh mcdowell about whom i have no comment having never read his work anyone who thinks that c s lewis was self righteous ought to read his introduction to the problem of pain which is his theodicy in it he explains that he wanted to publish the book anonymously why although he believed in the argument he was presenting he did not want to seem to presume to tell others how brave they should be in the face of their own suffering he did not want people to think that he was presenting himself as some kind of model of fortitude or that he was anything other than what he considered himself to be a great coward ofm has adequately handled the question of whether we ought to be embarrassed by lewis liar lunatic lord argument which by the way is part of a much bigger discourse i would just like to add that far from being embarrassed by lewis i am in a state of continual amazement at the soundness and clarity of the arguments he presents phil hey we re talking about the phone company here the phone company doesn t have opinions on this kind of stuff this is all me",31
"from howard r doyle subject re hernia organization pittsburgh transplant institute lines in article steve heffner writes a bit more than a year ago a hernia in my right groin was discovered it had produced a dull pain in that area the hernia was repaired using the least intrusive orthoscopic method and a plug and patch i suspect you mean laparoscopic instead of orthoscopic now the pain occurs more often my gp couldn t identify any specific problem the surgen who performed the original procedure now says that yes there is a new hernia in the same area and he said that he has to cut into the area for the repair this time my question to the net is there a nonintrusive method to determine if in fact there is a hernia or if the pain is from something else by far the still best method to diagnose a hernia is old fashioned physical examination if you have an obvious hernia sac coming down into your scrotum or a bulge in your groin that is brought about by increasing intra abdominal pressure sometimes is not that obvious the hernia is small and you can only detect it by putting your finger into the inguinal canal whether you have a recurrent hernia or this is related to the previous operation i can t tell you the person that examined you is in the best position to make that determination are there non invasive ways of diagnosing a hernia every now and then folks write about ct scans and ultrasounds for this but these are far too expensive and unlikely to be better than a trained examining finger howard doyle",32
"from james sledd subject proof of resurection organization social science computing lines i have a few minor problems with the article posted as proof of christ s resurrection first the scriptural quotations this sort of reasoning is such that if you beleive you are justified if not then your beleif is in vain so you might as well beleive most of these quotations are of people who do beleive people who would try to justify their own positions second the logical proof quoted text from family magazine sysops subject witness proof of christ s resurrection date apr gmt much deleted in nearly centuries no body has ever been produced to refute jesus assertion that he would indeed rise from the dead the probability of being able to perpetrate such a hoax successfully upon the entire world for nearly centuries is astronomically negative end quoted text the period of time that has elapsed from the event growing larger does not increase the odds that a hoax would be discovered in fact the longer a hoax is perpetuated the stronger it becomes finally there is no proof of the resurrection of christ except in our spirits communion with his and the father s it is a matter of faith belief without logical proof incedently one of the largest stumbling blocks for rational western man myself included i hope that this is taken in the spirit it was intended and not as a rejection of the resurrection s occurance i beleive but i wanted to point out the weakness of logical proofs",33
"from gordon banks subject re update help was what is this is it lyme s article i d pitt reply to gordon banks organization univ of pittsburgh computer science lines in article john setel o donnell writes i shouldn t have to be posting here physicians should know the lyme literature beyond steere co s denial merry go round patients should get correctly diagnosed and treated why do you think steere is doing this isn t he acting in good faith after all as the discoverer of lyme for all intents and purposes the more famous lyme gets the more famous steere gets i don t see the ulterior motive here it is easy for me to see it the those physicians who call everything lyme and treat everything there is a lot of money involved i m a computer engineer not a doctor jim i was building a computer manufacturing company when i got lyme i lost several years of my life to near total disability partially as a result the company failed taking with it over jobs my savings and everything i d worked for for years i m one of the lucky ones in that i found a physician through the lyme foundation and now can work almost full time although i have persistent infection and still suffer a variety of sypmtoms and now i try to follow the lyme literature well it is tragic what has happened to you but it doesn t necessarily make you the most objective source of information about it if your whole life is focussed around this you may be too emotionally involved to be advising other people who may or may not have lyme certainly advocacy of more research on lyme would not be out of order though and people like you can be very effective there gordon banks njxp skepticism is the chastity of the intellect and it is shameful to surrender it too soon",34
